Date,NSE_NO_OF_TRADE,BSE_No_of_Trades
2024-11-14,104192155.0,40918170.0
2024-11-15,,
2024-11-18,76523175.0,31957012.0
2024-11-19,115548287.0,4046622.0
2024-11-20,,
2024-11-21,119108174.0,6470559.0
2024-11-22,65945072.0,79362668.0
2024-11-25,89133994.0,35362991.0
2024-11-26,100741395.0,2315530.0
2024-11-27,127562312.0,3123344.0
2024-11-28,126354567.0,9539919.0
2024-11-29,35817189.0,73294871.0
2024-12-02,50919509.0,4338344.0
2024-12-03,49750371.0,4414461.0
2024-12-04,68587213.0,6170909.0
2024-12-05,147760093.0,10151304.0
2024-12-06,37317271.0,59936700.0
2024-12-09,40422734.0,2850716.0
2024-12-10,45980652.0,3925304.0
2024-12-11,50595519.0,4272304.0
2024-12-12,83372310.0,6550895.0
2024-12-13,59734564.0,87585631.0
2024-12-16,45300868.0,4256052.0
2024-12-17,65303478.0,5536543.0
2024-12-18,76852069.0,6299614.0
2024-12-19,98993560.0,8211107.0
2024-12-20,56086018.0,77826789.0
2024-12-23,76038897.0,5129510.0
2024-12-24,94848330.0,4241075.0
2024-12-25,,
2024-12-26,85274596.0,8278909.0
2024-12-27,25838572.0,57834307.0
2024-12-30,75619574.0,39012795.0
2024-12-31,65358035.0,4420745.0
2025-01-02,76859915.0,9481970.0
2025-01-03,29809262.0,79659503.0
2025-01-06,47606886.0,18495157.0
2025-01-07,33041942.0,51285502.0
2025-01-08,59520624.0,3925350.0
2025-01-09,69975465.0,3385371.0
2025-01-10,41396575.0,11745403.0
2025-01-13,41605586.0,18622077.0
2025-01-15,48231307.0,2784408.0
2025-01-16,58316200.0,2626129.0
2025-01-17,37650969.0,9671687.0
2025-01-20,36108377.0,15120422.0
2025-01-21,54659305.0,65834155.0
2025-01-22,59450085.0,4525968.0
2025-01-23,71587928.0,3485226.0
2025-01-24,55818844.0,13018621.0
2025-01-27,54237988.0,21284236.0
2025-01-28,63054387.0,74574992.0
2025-01-29,69058088.0,1361806.0
2025-01-30,140142328.0,1492549.0
2025-01-31,22482871.0,4076239.0
2025-02-03,30354297.0,15967362.0
2025-02-04,38732475.0,57379833.0
2025-02-05,37612533.0,2109037.0
2025-02-06,60242646.0,2526621.0
2025-02-07,34333344.0,10888311.0
2025-02-10,28284442.0,13978805.0
2025-02-11,37003441.0,60891064.0
2025-02-12,66816234.0,5323922.0
2025-02-13,86579577.0,4453401.0
2025-02-14,42907409.0,13244599.0
2025-02-17,40088613.0,18926351.0
2025-02-18,35065346.0,54898143.0
2025-02-19,50657549.0,3606479.0
2025-02-20,61071079.0,2759483.0
