fetch_time,metric_type,epoch_timestamp,timestamp_readable,value
25/02/2026 18:36:00,CNTU,1772024768550,25/02/2026 18:36:08,21289150
25/02/2026 18:36:00,CNTU,1772024769550,25/02/2026 18:36:09,21289150
25/02/2026 18:36:00,AUM,1772024760550,25/02/2026 18:36:00,310919504845046
25/02/2026 18:36:00,AUM,1772024761550,25/02/2026 18:36:01,310919509326681
25/02/2026 18:36:00,AUM,1772024762550,25/02/2026 18:36:02,310919513808316
25/02/2026 18:36:00,AUM,1772024763550,25/02/2026 18:36:03,310919518289950
25/02/2026 18:36:00,AUM,1772024764550,25/02/2026 18:36:04,310919522771585
25/02/2026 18:36:00,AUM,1772024765550,25/02/2026 18:36:05,310919527253219
25/02/2026 18:36:00,AUM,1772024766550,25/02/2026 18:36:06,310919531734854
25/02/2026 18:36:00,AUM,1772024767550,25/02/2026 18:36:07,310919536216488
25/02/2026 18:36:00,AUM,1772024768550,25/02/2026 18:36:08,310919540698123
25/02/2026 18:36:00,AUM,1772024769550,25/02/2026 18:36:09,310919545179757
25/02/2026 18:36:00,mf_assets,1772024760550,25/02/2026 18:36:00,167879028652971
25/02/2026 18:36:00,mf_assets,1772024761550,25/02/2026 18:36:01,167879028950361
25/02/2026 18:36:00,mf_assets,1772024762550,25/02/2026 18:36:02,167879029247752
25/02/2026 18:36:00,mf_assets,1772024763550,25/02/2026 18:36:03,167879029545142
25/02/2026 18:36:00,mf_assets,1772024764550,25/02/2026 18:36:04,167879029842533
25/02/2026 18:36:00,mf_assets,1772024765550,25/02/2026 18:36:05,167879030139923
25/02/2026 18:36:00,mf_assets,1772024766550,25/02/2026 18:36:06,167879030437314
25/02/2026 18:36:00,mf_assets,1772024767550,25/02/2026 18:36:07,167879030734704
25/02/2026 18:36:00,mf_assets,1772024768550,25/02/2026 18:36:08,167879031032095
25/02/2026 18:36:00,mf_assets,1772024769550,25/02/2026 18:36:09,167879031329485
25/02/2026 18:36:00,mf_sip_inflows,1772024760550,25/02/2026 18:36:00,8156320905243
25/02/2026 18:36:00,mf_sip_inflows,1772024761550,25/02/2026 18:36:01,8156320905337
25/02/2026 18:36:00,mf_sip_inflows,1772024762550,25/02/2026 18:36:02,8156320905432
25/02/2026 18:36:00,mf_sip_inflows,1772024763550,25/02/2026 18:36:03,8156320905526
25/02/2026 18:36:00,mf_sip_inflows,1772024764550,25/02/2026 18:36:04,8156320905621
25/02/2026 18:36:00,mf_sip_inflows,1772024765550,25/02/2026 18:36:05,8156320905715
25/02/2026 18:36:00,mf_sip_inflows,1772024766550,25/02/2026 18:36:06,8156320905810
25/02/2026 18:36:00,mf_sip_inflows,1772024767550,25/02/2026 18:36:07,8156320905904
25/02/2026 18:36:00,mf_sip_inflows,1772024768550,25/02/2026 18:36:08,8156320905999
25/02/2026 18:36:00,mf_sip_inflows,1772024769550,25/02/2026 18:36:09,8156320906093
25/02/2026 18:36:00,equity_adto,1772024760550,25/02/2026 18:36:00,603943621464557
