fetch_time,metric_type,timestamp,value
2026-02-25 17:44:14,CNTU,1772021654403,21288893
2026-02-25 17:44:14,CNTU,1772021655403,21288893
2026-02-25 17:44:14,CNTU,1772021656403,21288893
2026-02-25 17:44:14,CNTU,1772021657403,21288893
2026-02-25 17:44:14,CNTU,1772021658403,21288893
2026-02-25 17:44:14,CNTU,1772021659403,21288893
2026-02-25 17:44:14,CNTU,1772021660403,21288894
2026-02-25 17:44:14,CNTU,1772021661403,21288894
2026-02-25 17:44:14,CNTU,1772021662403,21288894
2026-02-25 17:44:14,CNTU,1772021663403,21288894
2026-02-25 17:44:14,AUM,1772021654403,310897766616207
2026-02-25 17:44:14,AUM,1772021655403,310897775607958
2026-02-25 17:44:14,AUM,1772021656403,310897784599708
2026-02-25 17:44:14,AUM,1772021657403,310897793591459
2026-02-25 17:44:14,AUM,1772021658403,310897802583210
2026-02-25 17:44:14,AUM,1772021659403,310897811574961
2026-02-25 17:44:14,AUM,1772021660403,310897820566712
2026-02-25 17:44:14,AUM,1772021661403,310897829558463
2026-02-25 17:44:14,AUM,1772021662403,310897838550213
2026-02-25 17:44:14,AUM,1772021663403,310897847541964
2026-02-25 17:44:14,mf_assets,1772021654403,167861958125818
2026-02-25 17:44:14,mf_assets,1772021655403,167861967113522
2026-02-25 17:44:14,mf_assets,1772021656403,167861976101226
2026-02-25 17:44:14,mf_assets,1772021657403,167861985088930
2026-02-25 17:44:14,mf_assets,1772021658403,167861994076634
2026-02-25 17:44:14,mf_assets,1772021659403,167862003064337
2026-02-25 17:44:14,mf_assets,1772021660403,167862012052041
2026-02-25 17:44:14,mf_assets,1772021661403,167862021039745
2026-02-25 17:44:14,mf_assets,1772021662403,167862030027449
2026-02-25 17:44:14,mf_assets,1772021663403,167862039015153
2026-02-25 17:44:14,mf_sip_inflows,1772021654403,8150391319421
2026-02-25 17:44:14,mf_sip_inflows,1772021655403,8150394503181
2026-02-25 17:44:14,mf_sip_inflows,1772021656403,8150397686940
2026-02-25 17:44:14,mf_sip_inflows,1772021657403,8150400870700
2026-02-25 17:44:14,mf_sip_inflows,1772021658403,8150404054460
2026-02-25 17:44:14,mf_sip_inflows,1772021659403,8150407238219
2026-02-25 17:44:14,mf_sip_inflows,1772021660403,8150410421979
2026-02-25 17:44:14,mf_sip_inflows,1772021661403,8150413605739
2026-02-25 17:44:14,mf_sip_inflows,1772021662403,8150416789498
2026-02-25 17:44:14,mf_sip_inflows,1772021663403,8150419973258
2026-02-25 17:44:14,equity_adto,1772021654403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021655403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021656403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021657403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021658403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021659403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021660403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021661403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021662403,603943621464557
2026-02-25 17:44:14,equity_adto,1772021663403,603943621464557
2026-02-25 17:44:14,stocks_adto,1772021654403,541335302683004
2026-02-25 17:44:14,stocks_adto,1772021655403,541335303849252
2026-02-25 17:44:14,stocks_adto,1772021656403,541335305015500
2026-02-25 17:44:14,stocks_adto,1772021657403,541335306181748
2026-02-25 17:44:14,stocks_adto,1772021658403,541335307347997
2026-02-25 17:44:14,stocks_adto,1772021659403,541335308514245
2026-02-25 17:44:14,stocks_adto,1772021660403,541335309680493
2026-02-25 17:44:14,stocks_adto,1772021661403,541335310846741
2026-02-25 17:44:14,stocks_adto,1772021662403,541335312012990
2026-02-25 17:44:14,stocks_adto,1772021663403,541335313179238
2026-02-25 17:44:14,stocks_assets,1772021654403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021655403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021656403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021657403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021658403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021659403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021660403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021661403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021662403,132780176073274
2026-02-25 17:44:14,stocks_assets,1772021663403,132780176073274
25/02/2026 18:13:04,stocks_adto,1772023384119,25/02/2026 18:13:04,541337319961243
25/02/2026 18:13:04,stocks_adto,1772023385119,25/02/2026 18:13:05,541337321127491
25/02/2026 18:13:04,stocks_adto,1772023386119,25/02/2026 18:13:06,541337322293740
25/02/2026 18:13:04,stocks_adto,1772023387119,25/02/2026 18:13:07,541337323459988
25/02/2026 18:13:04,stocks_adto,1772023388119,25/02/2026 18:13:08,541337324626236
25/02/2026 18:13:04,stocks_adto,1772023389119,25/02/2026 18:13:09,541337325792484
25/02/2026 18:13:04,stocks_adto,1772023390119,25/02/2026 18:13:10,541337326958733
25/02/2026 18:13:04,stocks_adto,1772023391119,25/02/2026 18:13:11,541337328124981
25/02/2026 18:13:04,stocks_adto,1772023392119,25/02/2026 18:13:12,541337329291229
25/02/2026 18:13:04,stocks_adto,1772023393119,25/02/2026 18:13:13,541337330457477
25/02/2026 18:13:04,stocks_assets,1772023384119,25/02/2026 18:13:04,132780176073275
25/02/2026 18:13:04,stocks_assets,1772023385119,25/02/2026 18:13:05,132780176073275
25/02/2026 18:13:04,stocks_assets,1772023386119,25/02/2026 18:13:06,132780176073275
25/02/2026 18:13:04,stocks_assets,1772023387119,25/02/2026 18:13:07,132780176073275
25/02/2026 18:13:04,stocks_assets,1772023388119,25/02/2026 18:13:08,132780176073275
25/02/2026 18:13:04,stocks_assets,1772023389119,25/02/2026 18:13:09,132780176073275
25/02/2026 18:13:04,stocks_assets,1772023390119,25/02/2026 18:13:10,132780176073275
25/02/2026 18:13:04,stocks_assets,1772023391119,25/02/2026 18:13:11,132780176073275
25/02/2026 18:13:04,stocks_assets,1772023392119,25/02/2026 18:13:12,132780176073275
25/02/2026 18:13:04,stocks_assets,1772023393119,25/02/2026 18:13:13,132780176073275
25/02/2026 18:14:32,CNTU,1772023472593,25/02/2026 18:14:32,21289139
25/02/2026 18:14:32,CNTU,1772023473593,25/02/2026 18:14:33,21289139
25/02/2026 18:14:32,CNTU,1772023474593,25/02/2026 18:14:34,21289139
25/02/2026 18:14:32,CNTU,1772023475593,25/02/2026 18:14:35,21289139
25/02/2026 18:14:32,CNTU,1772023476593,25/02/2026 18:14:36,21289139
25/02/2026 18:14:32,CNTU,1772023477593,25/02/2026 18:14:37,21289139
25/02/2026 18:14:32,CNTU,1772023478593,25/02/2026 18:14:38,21289140
25/02/2026 18:14:32,CNTU,1772023479593,25/02/2026 18:14:39,21289140
25/02/2026 18:14:32,CNTU,1772023480593,25/02/2026 18:14:40,21289140
25/02/2026 18:14:32,CNTU,1772023481593,25/02/2026 18:14:41,21289140
25/02/2026 18:14:32,AUM,1772023472593,25/02/2026 18:14:32,310914115327664
25/02/2026 18:14:32,AUM,1772023473593,25/02/2026 18:14:33,310914124319415
25/02/2026 18:14:32,AUM,1772023474593,25/02/2026 18:14:34,310914133311166
25/02/2026 18:14:32,AUM,1772023475593,25/02/2026 18:14:35,310914142302917
25/02/2026 18:14:32,AUM,1772023476593,25/02/2026 18:14:36,310914151294668
25/02/2026 18:14:32,AUM,1772023477593,25/02/2026 18:14:37,310914160286419
25/02/2026 18:14:32,AUM,1772023478593,25/02/2026 18:14:38,310914169278169
25/02/2026 18:14:32,AUM,1772023479593,25/02/2026 18:14:39,310914178269920
25/02/2026 18:14:32,AUM,1772023480593,25/02/2026 18:14:40,310914187261671
25/02/2026 18:14:32,AUM,1772023481593,25/02/2026 18:14:41,310914196253422
25/02/2026 18:14:32,mf_assets,1772023472593,25/02/2026 18:14:32,167878299479266
25/02/2026 18:14:32,mf_assets,1772023473593,25/02/2026 18:14:33,167878308466970
25/02/2026 18:14:32,mf_assets,1772023474593,25/02/2026 18:14:34,167878317454674
25/02/2026 18:14:32,mf_assets,1772023475593,25/02/2026 18:14:35,167878326442377
25/02/2026 18:14:32,mf_assets,1772023476593,25/02/2026 18:14:36,167878335430081
25/02/2026 18:14:32,mf_assets,1772023477593,25/02/2026 18:14:37,167878344417785
25/02/2026 18:14:32,mf_assets,1772023478593,25/02/2026 18:14:38,167878353405489
25/02/2026 18:14:32,mf_assets,1772023479593,25/02/2026 18:14:39,167878362393193
25/02/2026 18:14:32,mf_assets,1772023480593,25/02/2026 18:14:40,167878371380897
25/02/2026 18:14:32,mf_assets,1772023481593,25/02/2026 18:14:41,167878380368601
